club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
10690,zorya-lugansk,Zorya Lugansk,UKR1,,30,24.4,1,3.3,2,Valeriy Lobanovsky Stadion,16873,+€1.25m,null,2022,https://www.transfermarkt.co.uk/zorya-lugansk/startseite/verein/10690
1082,losc-lille,LOSC Lille,FR1,,23,26.0,15,65.2,8,Decathlon Arena-Stade Pierre-Mauroy,50186,+€75.50m,null,2022,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
126,caykur-rizespor,Caykur Rizespor,TR1,,32,26.8,9,28.1,1,Çaykur Didi,15332,€-529k,null,2021,https://www.transfermarkt.co.uk/caykur-rizespor/startseite/verein/126
128,ao-xanthi,AO Xanthi,GR1,,0,,0,,0,Xanthi Arena,7361,+-0,null,2019,https://www.transfermarkt.co.uk/ao-xanthi/startseite/verein/128
1387,acn-siena-1904,ACN Siena,IT1,,29,25.0,1,3.4,0,Artemio Franchi,15373,+-0,null,2012,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
16704,fk-krasnodar,FK Krasnodar,RU1,,23,24.7,12,52.2,5,Stadion Krasnodar,35179,+€1.66m,null,2022,https://www.transfermarkt.co.uk/fk-krasnodar/startseite/verein/16704
169,panionios-athen,Panionios Athens,GR1,,34,23.5,4,11.8,0,Stadio Neas Smyrnis,11700,+-0,null,2019,https://www.transfermarkt.co.uk/panionios-athen/startseite/verein/169
180,fc-southampton,Southampton FC,GB1,,33,25.4,22,66.7,16,St Mary's Stadium,32384,€-138.15m,null,2022,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
22110,fc-helsingor,FC Helsingör,DK1,,23,24.6,4,17.4,1,Helsingør Ny Stadion,4000,+€320k,null,2017,https://www.transfermarkt.co.uk/fc-helsingor/startseite/verein/22110
317,fc-twente-enschede,Twente Enschede FC,NL1,,24,25.5,10,41.7,4,De Grolsch Veste,30205,€-500k,null,2022,https://www.transfermarkt.co.uk/fc-twente-enschede/startseite/verein/317
338,dynamo-kiew,Dynamo Kyiv,UKR1,,30,24.3,6,20.0,10,Valeriy Lobanovsky Stadion,16873,+€24.60m,null,2022,https://www.transfermarkt.co.uk/dynamo-kiew/startseite/verein/338
3840,adana-demirspor,Adana Demirspor,TR1,,28,27.3,15,53.6,3,Yeni Adana Stadyumu,33000,+€6.12m,null,2022,https://www.transfermarkt.co.uk/adana-demirspor/startseite/verein/3840
443,vejle-boldklub,Vejle Boldklub,DK1,,27,24.0,17,63.0,3,Vejle Stadion,10418,+€755k,null,2021,https://www.transfermarkt.co.uk/vejle-boldklub/startseite/verein/443
